galaxyCall,nursery,cbassRun,ed50,ed50Adj
Apal-152,RR,2,36.68637002486908,36.457589691582314
Apal-061,RR,2,36.428410355571764,36.28915661051491
Apal-054,RR,2,36.46846042690739,36.30618475968466
Apal-038,RR,2,36.250612110817436,36.170727226115744
Apal-158,RR,2,36.46451645213426,36.315945920478725
Apal-173,RR,2,36.54444270381948,36.38157566523074
Apal-CN4,RR,2,36.204339009962816,36.103274368364644
Apal-157,RR,2,36.04046890710006,35.96186665581428
Apal-070,RR,2,36.06395011260898,35.95554623190604
Apal-057,RR,2,36.40641238140783,36.34557878990553
Apal-015,RR,2,36.15759687944998,36.11239371100115
Apal-151,RR,2,36.450619375946516,36.38912692771401
Apal-161,RR,2,36.576979177853225,36.51500003258104
Apal-065,RR,2,36.42887640836393,36.30476577207668
Apal-026,RR,2,36.00548415132401,35.889934691879276
Apal-030,RR,2,36.443122661010065,36.33622531905106
Apal-021,RR,2,36.34833128229833,36.22330079786475
Apal-155,RR,2,36.68121943983249,36.62196774230168
Apal-165,RR,2,36.42337028754798,36.34060729608682
Apal-039,RR,2,36.338916226724244,36.171362092981575
Apal-154,RR,2,36.51218167504491,36.42590080322678
Apal-032,RR,2,36.26720334228489,36.21027860389358
Apal-016,RR,2,36.453717675663775,36.381712787409704
Apal-078,RR,2,36.1375156920454,36.01069849144503
Apal-175,RR,2,36.321463545636014,36.15897086564533
Apal-028,RR,2,36.04733337202555,35.928133736220246
Apal-159,RR,2,37.090882269145084,36.82373069392813
Apal-150,RR,2,37.4774738216382,37.244078765078164
Apal-153,RR,2,36.91470090624036,36.85298727884165
Apal-166,RR,2,36.55821429434576,36.50811571083064
Apal-025,RR,2,36.88854233411646,36.69307739564259
Apal-160,RR,2,36.640131441853995,36.556660985683074
Apal-140,RR,2,36.41656256167008,36.43239450425314
Apal-164,RR,2,36.83047260798196,36.651349826543594
Apal-163,RR,2,36.671265228586556,36.55493078884986
Apal-162,RR,2,36.76484661832706,36.64855523137225
Apal-172,RR,2,36.46656488718292,36.3489427732028
Apal-066,RR,2,36.19376059654424,36.074797159513636
Apal-020,RR,2,36.270140707432176,36.09038432483816
Apal-178,RR,2,36.65753943459252,36.6199001821317
Apal-171,RR,2,36.4743517218442,36.314043057527236
Apal-156,RR,2,36.3711867717457,36.28639253254655
Apal-170,RR,2,36.03436864582267,35.97766873862565
Apal-179,RR,2,36.204064087495155,36.00101846374326
Apal-174,RR,2,36.447017170132234,36.156651401185854
Apal-050,RR,3,36.90391705207766,36.77387328980072
Apal-073,CRF,3,36.22498703980273,35.94416487950387
Apal-069,CRF,3,36.62249584682222,36.43952149791896
Apal-067,CRF,3,36.60801936846245,36.29649121314174
Apal-002,CRF,3,36.45092112523723,36.210332792633075
Apal-006,CRF,3,36.52344677667385,36.30766090996052
Apal-019,CRF,3,35.899282162974266,35.64329682849252
Apal-011,CRF,3,36.165273909618435,36.188590157305356
Apal-039,CRF,3,36.542116578753394,36.22677323712673
Apal-052,CRF,3,36.58039272470183,36.66441351253656
Apal-035,CRF,3,36.480771248549374,36.22055851152029
Apal-194,CRF,3,36.36092635814461,35.99464977525072
Apal-041,CRF,3,37.12448824235378,36.882740776607676
Apal-053,CRF,3,36.41219957900042,36.2461461564299
Apal-057,CRF,3,37.106094595560116,36.76818058870365
Apal-051,CRF,3,37.01436065079354,36.78481059881934
Apal-087,CRF,3,36.57095634435846,36.345683485962496
Apal-206,CRF,3,35.74300986651902,35.57372388471593
Apal-068,CRF,3,36.17517472023814,35.8293732071298
Apal-029,CRF,3,37.25066256621495,37.03010997984785
Apal-003,CRF,3,36.54406797639821,36.32225338285837
Apal-009,CRF,3,36.10985306264236,35.86837238464677
Apal-024,CRF,3,37.21917322646804,37.0516200034026
Apal-005,CRF,3,35.9997622799249,35.76633979224661
Apal-049,CRF,3,36.492900487946876,36.250335636589114
Apal-083,CRF,3,36.73099074050189,36.522605888748814
Apal-060,CRF,3,36.56068863883304,36.33827506124892
Apal-047,CRF,3,37.14467860709063,36.93535328094806
Apal-084,CRF,3,36.12812734843152,36.068895129929
Apal-042,CRF,3,37.00513611791126,36.82892367905197
Apal-050,CRF,3,36.87747761571027,36.620236549371654
Apal-037,CRF,3,36.869959155491244,36.55357724908672
