Block Type,96-Well 0.1-mL Block,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,F3,FALSE,CR2Apal_30C_115,D,UNKNOWN,FAM,NFQ-MGB,25.889167785644531,25.752883911132812,0.19273450970649719,,,,,,,,FALSE,0.01,TRUE,3,24,Amp,,0.62248578734528659,3.2803695201873779,1.9739667177200317,91.517303466796875,76.669387817382812,69.525581359863281,66.443939208984375,Y,N,N,Y,N
64,F4,FALSE,CR2Apal_30C_115,Apal,UNKNOWN,SYBR,None,17.843355178833008,17.69450569152832,0.21050496399402618,,,,,,,,FALSE,0.01,TRUE,3,16,Amp,,0.54566312728143196,3.3274979591369629,2.8868818283081055,74.988494873046875,,,,Y,N,N,N,N
65,F5,FALSE,CR2Apal_30C_115,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,1.2032828330993652,-0.0016316208057105541,77.365081787109375,69.662918090820312,91.088943481445312,88.28814697265625,Y,Y,N,Y,Y
66,F6,FALSE,CR2Apal_30C_115,D,UNKNOWN,FAM,NFQ-MGB,25.616600036621094,25.752883911132812,0.19273450970649719,,,,,,,,FALSE,0.01,TRUE,3,24,Amp,,0.55792661670396504,3.3781094551086426,2.0384156703948975,91.929176330566406,75.264495849609375,78.345359802246094,,Y,N,N,Y,N
67,F7,FALSE,CR2Apal_30C_116,Apal,UNKNOWN,SYBR,None,19.421659469604492,19.468349456787109,0.066030964255332947,,,,,,,,FALSE,0.01,TRUE,3,18,Amp,,0.55389133965870119,3.284172534942627,3.0708658695220947,75.268814086914062,,,,Y,N,N,N,N
68,F8,FALSE,CR2Apal_30C_116,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,1.2092304229736328,-0.0023230302613228559,77.229927062988281,81.852569580078125,72.046974182128906,87.876007080078125,Y,Y,N,Y,N
69,F9,FALSE,CR2Apal_30C_116,D,UNKNOWN,FAM,NFQ-MGB,25.081081390380859,24.884881973266602,0.27746787667274475,,,,,,,,FALSE,0.01,TRUE,3,24,Amp,,0.53078400462451825,3.4125504493713379,2.1047489643096924,75.71014404296875,92.401641845703125,81.741523742675781,70.099555969238281,Y,N,N,Y,N
70,F10,FALSE,CR2Apal_30C_116,Apal,UNKNOWN,SYBR,None,19.515041351318359,19.468349456787109,0.066030964255332947,,,,,,,,FALSE,0.01,TRUE,3,18,Amp,,0.53712734651536143,3.3398206233978271,2.9788923263549805,75.289352416992188,,,,Y,N,N,N,N
71,F11,FALSE,CR2Apal_30C_116,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,1.840510368347168,-0.0011079837568104267,88.037590026855469,62.804843902587891,77.944488525390625,70.514846801757812,Y,Y,N,Y,Y
72,F12,FALSE,CR2Apal_30C_116,D,UNKNOWN,FAM,NFQ-MGB,24.688682556152344,24.884881973266602,0.27746787667274475,,,,,,,,FALSE,0.01,TRUE,3,23,Amp,,0.50511765333549219,3.6919682025909424,2.2819399833679199,77.243583679199219,82.710678100585938,87.617042541503906,69.673759460449219,Y,N,N,Y,N
