Block Type,96-Well 0.1-mL Block,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,D10,FALSE,CR2Apal_36C_114,Apal,UNKNOWN,SYBR,None,21.570194244384766,21.471141815185547,0.14008128643035889,,,,,,,,FALSE,0.01,TRUE,3,20,Amp,,0.61881519348187985,Y,N,N,N,N,N,N,75.157264709472656,N,,N,,N,N,
47,D11,FALSE,CR2Apal_36C_114,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,Y,Y,N,Y,N,N,N,76.831626892089844,N,71.502151489257812,N,93.100555419921875,N,N,89.454071044921875
48,D12,FALSE,CR2Apal_36C_114,D,UNKNOWN,FAM,NFQ-MGB,30.42999267578125,30.433460235595703,0.0049025216139853001,,,,,,,,FALSE,0.01,TRUE,3,29,Amp,,0.89997100383923057,N,N,N,Y,N,N,N,75.849884033203125,N,92.6798095703125,N,65.751922607421875,N,N,79.636611938476562
49,E1,FALSE,CR2Apal_36C_115,Apal,UNKNOWN,SYBR,None,21.226268768310547,20.976768493652344,0.35284668207168579,,,,,,,,FALSE,0.01,TRUE,3,20,Amp,,0.48152455325910493,Y,N,N,N,N,N,N,74.584625244140625,N,,N,,N,N,
50,E2,FALSE,CR2Apal_36C_115,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,35,No Amp,,0,Y,N,N,Y,N,N,N,76.407524108886719,N,66.591896057128906,N,91.130966186523438,N,N,82.577346801757812
51,E3,FALSE,CR2Apal_36C_115,D,UNKNOWN,FAM,NFQ-MGB,29.627035140991211,30.103036880493164,0.6731681227684021,,,,,,,,FALSE,0.01,TRUE,3,28,Amp,,0.67263825810925082,Y,N,Y,Y,N,N,N,81.580810546875,N,70.230072021484375,N,77.937362670898438,N,N,65.605705261230469
52,E4,FALSE,CR2Apal_36C_115,Apal,UNKNOWN,SYBR,None,20.727268218994141,20.976768493652344,0.35284668207168579,,,,,,,,FALSE,0.01,TRUE,3,19,Amp,,0.42700469671389196,Y,N,N,N,N,N,N,74.994583129882812,N,,N,,N,N,
53,E5,FALSE,CR2Apal_36C_115,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,Y,Y,N,Y,N,N,N,75.835678100585938,N,88.446014404296875,N,71.07177734375,N,N,80.739700317382812
54,E6,FALSE,CR2Apal_36C_115,D,UNKNOWN,FAM,NFQ-MGB,30.579038619995117,30.103036880493164,0.6731681227684021,,,,,,,,FALSE,0.01,TRUE,3,29,Amp,,0.91308516124875461,N,N,Y,Y,N,N,N,75.275222778320312,N,92.229110717773438,N,69.670623779296875,N,N,82.981536865234375
55,E7,FALSE,CR2Apal_36C_116,Apal,UNKNOWN,SYBR,None,19.423032760620117,19.701107025146484,0.39325639605522156,,,,,,,,FALSE,0.01,TRUE,3,18,Amp,,0.4346181526511208,Y,N,N,N,N,N,N,75.001106262207031,N,,N,,N,N,
