Block Type,96-Well 0.1-mL Block,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,E3,FALSE,CR2Apal_34C_115,D,UNKNOWN,FAM,NFQ-MGB,26.656980514526367,26.818500518798828,0.22842243313789368,,,,,,,,FALSE,0.10000000000000001,TRUE,3,22,Amp,,0.96670327795005095,N,N,N,Y,N,88.550201416015625,77.774993896484375,69.518669128417969,74.556427001953125
52,E4,FALSE,CR2Apal_34C_115,Apal,UNKNOWN,SYBR,None,20.726207733154297,20.820999145507812,0.13405530154705048,,,,,,,,FALSE,0.10000000000000001,TRUE,3,17,Amp,,0.987270847956773,N,N,N,N,N,74.976242065429688,,,
53,E5,FALSE,CR2Apal_34C_115,A,UNKNOWN,FAM,NFQ-MGB,36.541946411132812,36.632396697998047,0.12791602313518524,,,,,,,,FALSE,0.10000000000000001,TRUE,3,32,Amp,,0.8347734286413675,N,N,N,Y,N,89.476966857910156,74.949172973632812,81.095542907714844,70.618766784667969
54,E6,FALSE,CR2Apal_34C_115,D,UNKNOWN,FAM,NFQ-MGB,26.980018615722656,26.818500518798828,0.22842243313789368,,,,,,,,FALSE,0.10000000000000001,TRUE,3,22,Amp,,0.97204590002130375,N,N,N,Y,N,76.206382751464844,92.969223022460938,67.126510620117188,70.479080200195312
55,E7,FALSE,CR2Apal_34C_116,Apal,UNKNOWN,SYBR,None,21.242168426513672,21.293481826782227,0.072568103671073914,,,,,,,,FALSE,0.10000000000000001,TRUE,3,17,Amp,,0.98175827431279039,N,N,N,N,N,75.115501403808594,,,
56,E8,FALSE,CR2Apal_34C_116,A,UNKNOWN,FAM,NFQ-MGB,30.304756164550781,30.014793395996094,0.41007062792778015,,,,,,,,FALSE,0.10000000000000001,TRUE,3,26,Amp,,0.94497758348309568,N,N,N,Y,N,77.354476928710938,87.429878234863281,,
57,E9,FALSE,CR2Apal_34C_116,D,UNKNOWN,FAM,NFQ-MGB,27.86338996887207,28.101997375488281,0.33744049072265625,,,,,,,,FALSE,0.10000000000000001,TRUE,3,23,Amp,,0.97961432335542487,N,N,N,Y,N,89.72149658203125,77.38555908203125,93.226028442382812,69.67559814453125
58,E10,FALSE,CR2Apal_34C_116,Apal,UNKNOWN,SYBR,None,21.344795227050781,21.293481826782227,0.072568103671073914,,,,,,,,FALSE,0.10000000000000001,TRUE,3,17,Amp,,0.98871427572515724,N,N,N,N,N,75.282844543457031,,,
59,E11,FALSE,CR2Apal_34C_116,A,UNKNOWN,FAM,NFQ-MGB,29.724828720092773,30.014793395996094,0.41007062792778015,,,,,,,,FALSE,0.10000000000000001,TRUE,3,24,Amp,,0.93098684921057762,N,N,N,Y,N,75.414520263671875,88.444679260253906,78.3568115234375,69.810150146484375
60,E12,FALSE,CR2Apal_34C_116,D,UNKNOWN,FAM,NFQ-MGB,28.340602874755859,28.101997375488281,0.33744049072265625,,,,,,,,FALSE,0.10000000000000001,TRUE,3,24,Amp,,0.96482060863520958,N,N,N,Y,N,69.670036315917969,76.115066528320312,87.463912963867188,89.5655517578125
61,F1,FALSE,CR2Apal_34C_117,Apal,UNKNOWN,SYBR,None,20.459360122680664,20.515964508056641,0.080050691962242126,,,,,,,,FALSE,0.10000000000000001,TRUE,3,16,Amp,,0.97341938376863668,N,N,N,N,N,74.997039794921875,,,
62,F2,FALSE,CR2Apal_34C_117,A,UNKNOWN,FAM,NFQ-MGB,32.043300628662109,32.266643524169922,0.31585454940795898,,,,,,,,FALSE,0.10000000000000001,TRUE,3,27,Amp,,0.94123997413894667,N,N,N,Y,N,90.131301879882812,76.818756103515625,83.685226440429688,
63,F3,FALSE,CR2Apal_34C_117,D,UNKNOWN,FAM,NFQ-MGB,27.510639190673828,27.4805908203125,0.04249616339802742,,,,,,,,FALSE,0.10000000000000001,TRUE,3,22,Amp,,0.9693913148676071,N,N,N,Y,N,89.109954833984375,76.795425415039062,69.518669128417969,93.448020935058594
64,F4,FALSE,CR2Apal_34C_117,Apal,UNKNOWN,SYBR,None,20.572568893432617,20.515964508056641,0.080050691962242126,,,,,,,,FALSE,0.10000000000000001,TRUE,3,17,Amp,,0.97232109650278165,N,N,N,N,N,74.976242065429688,,,
65,F5,FALSE,CR2Apal_34C_117,A,UNKNOWN,FAM,NFQ-MGB,32.489986419677734,32.266643524169922,0.31585454940795898,,,,,,,,FALSE,0.10000000000000001,TRUE,3,28,Amp,,0.94226269311598743,N,N,N,Y,N,74.949172973632812,77.603286743164062,87.10223388671875,
66,F6,FALSE,CR2Apal_34C_117,D,UNKNOWN,FAM,NFQ-MGB,27.450540542602539,27.4805908203125,0.04249616339802742,,,,,,,,FALSE,0.10000000000000001,TRUE,3,22,Amp,,0.97377540648585903,N,N,N,Y,N,76.765144348144531,66.5677490234375,70.758460998535156,86.962539672851562
67,F7,FALSE,MAp_T4_637,Apal,UNKNOWN,SYBR,None,37.517292022705078,37.517292022705078,,,,,,,,,FALSE,0.10000000000000001,TRUE,3,33,Inconclusive,,0.81287677103279787,N,N,N,N,N,74.83563232421875,,,
68,F8,FALSE,MAp_T4_637,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.10000000000000001,TRUE,3,39,No Amp,,0,Y,Y,N,Y,Y,75.395370483398438,89.109115600585938,71.477157592773438,64.900161743164062
69,F9,FALSE,MAp_T4_637,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.10000000000000001,TRUE,3,39,No Amp,,0,Y,Y,N,Y,Y,77.105201721191406,89.160774230957031,64.629081726074219,
70,F10,FALSE,MAp_T4_637,Apal,UNKNOWN,SYBR,None,Undetermined,37.517292022705078,,,,,,,,,FALSE,0.10000000000000001,TRUE,3,5,No Amp,,0,Y,N,N,Y,N,77.806106567382812,87.1982421875,92.525123596191406,62.806724548339844
71,F11,FALSE,MAp_T4_637,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.10000000000000001,TRUE,3,39,No Amp,,0,Y,Y,N,Y,N,75.414520263671875,88.164459228515625,,
72,F12,FALSE,MAp_T4_637,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.10000000000000001,TRUE,3,39,No Amp,,0,Y,Y,N,Y,Y,90.125991821289062,66.727745056152344,82.41998291015625,63.225013732910156
73,G1,FALSE,MAp_T4_645,Apal,UNKNOWN,SYBR,None,25.122041702270508,25.238227844238281,0.16431201994419098,,,,,,,,FALSE,0.10000000000000001,TRUE,3,21,Amp,,0.9665853569353442,N,N,N,N,N,74.997039794921875,,,
74,G2,FALSE,MAp_T4_645,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,35.493045806884766,,,,,,,,,FALSE,0.10000000000000001,TRUE,3,39,No Amp,,0,Y,Y,N,Y,N,78.500335693359375,88.8701171875,81.302978515625,69.391754150390625
75,G3,FALSE,MAp_T4_645,D,UNKNOWN,FAM,NFQ-MGB,32.861572265625,33.479694366455078,0.874156653881073,,,,,,,,FALSE,0.10000000000000001,TRUE,3,28,Amp,,0.96931398777022615,N,N,Y,Y,N,88.27032470703125,83.372505187988281,79.034431457519531,70.218353271484375
76,G4,FALSE,MAp_T4_645,Apal,UNKNOWN,SYBR,None,25.354413986206055,25.238227844238281,0.16431201994419098,,,,,,,,FALSE,0.10000000000000001,TRUE,3,21,Amp,,0.9647383672027825,N,N,N,N,N,74.8363037109375,,,
77,G5,FALSE,MAp_T4_645,A,UNKNOWN,FAM,NFQ-MGB,35.493045806884766,35.493045806884766,,,,,,,,,FALSE,0.10000000000000001,TRUE,3,31,Amp,,0.90368863615498407,N,N,N,Y,N,75.368240356445312,88.359443664550781,80.955856323242188,
78,G6,FALSE,MAp_T4_645,D,UNKNOWN,FAM,NFQ-MGB,34.097816467285156,33.479694366455078,0.874156653881073,,,,,,,,FALSE,0.10000000000000001,TRUE,3,30,Amp,,0.93970176730250299,N,N,Y,Y,N,76.625457763671875,93.388298034667969,87.381607055664062,
79,G7,FALSE,MAp_T4_650,Apal,UNKNOWN,SYBR,None,26.259559631347656,26.334510803222656,0.10599831491708755,,,,,,,,FALSE,0.10000000000000001,TRUE,3,22,Amp,,0.95922745495728279,N,N,N,N,N,75.115501403808594,,,
80,G8,FALSE,MAp_T4_650,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.10000000000000001,TRUE,3,39,No Amp,,0,Y,Y,N,Y,N,75.25543212890625,89.528923034667969,78.893775939941406,92.88739013671875
