originalOrder,Genet,Lat,Lon,Pathfinder v5,CoralTemp v3.1,properSort
RRT_73,Apal-203,24.4454,-81.9274,30.17,23.51,RRT_73
RRT_74,Apal-204,24.4454,-81.9264,30.17,23.51,RRT_74
RRT_75,Apal-205,24.4522,-81.8774,30.16,23.38,RRT_75
RRT_76,Apal-206,24.4524,-81.8772,30.16,23.38,RRT_76
RRT_77,Apal-207,24.9389,-80.4843,30.11,23.82,RRT_77
RRT_78,Apal-208.Wat3,25.1873,-80.2421,29.9,23.98,RRT_78
RRT_79,Apal-209,25.1373,-80.2889,29.97,23.93,RRT_79
RRT_8,Apal-26,24.5471,-81.4079,30.3,23.57,RRT_8
RRT_80,Apal-210,25.1429,-80.2582,29.98,23.93,RRT_80
RRT_81,Apal-211,25.1426,-80.2582,29.98,23.93,RRT_81
RRT_82,Apal-212,25.186,-80.2426,29.9,23.98,RRT_82
RRT_83,Apal-213,25.1863,-80.2428,29.9,23.98,RRT_83
RRT_84,Apal-214,24.545,-81.4103,30.3,23.57,RRT_84
RRT_85,Apal-215,24.545,-81.4108,30.3,23.57,RRT_85
RRT_86,Apal-216,24.5447,-81.41,30.3,23.57,RRT_86
RRT_87,Apal-217,25.1439,-80.2578,29.98,23.93,RRT_87
RRT_88,Apal-218,25.1439,-80.2578,29.98,23.93,RRT_88
RRT_89,Apal-219,25.144,-80.2574,29.98,23.93,RRT_89
RRT_9,Apal-120,24.4958,-81.649,30.29,23.54,RRT_9
RRT_90,Apal-220,25.143,-80.258,29.98,23.93,RRT_90
RRT_91,Apal-221,25.143,-80.258,29.98,23.93,RRT_91
RRT_92,Apal-222,25.1365,-80.2907,30.03,23.93,RRT_92
