Serial Number:20850768 --

"Date Time, GMT -0400","Temp, (*C)","Intensity, ( lux)","Button Down","Button Up","Host Connect","EOF"
2022-06-13 16:43:59,31.70,322, , , , 
2022-06-13 16:45:59,31.66,324, , , , 
2022-06-13 16:47:59,31.61,299, , , , 
2022-06-13 16:49:59,31.66,295, , , , 
2022-06-13 16:51:59,31.66,299, , , , 
2022-06-13 16:53:59,31.70,299, , , , 
2022-06-13 16:55:59,31.70,319, , , , 
2022-06-13 16:57:59,31.70,256, , , , 
2022-06-13 16:59:59,31.70,289, , , , 
2022-06-13 17:01:59,31.70,243, , , , 
2022-06-13 17:03:59,31.70,193, , , , 
2022-06-13 17:05:59,31.74,216, , , , 
2022-06-13 17:07:59,31.70,230, , , , 
2022-06-13 17:09:59,31.70,177, , , , 
2022-06-13 17:11:59,31.66,240, , , , 
2022-06-13 17:13:59,31.66,228, , , , 
2022-06-13 17:15:59,31.74,234, , , , 
2022-06-13 17:17:59,31.70,300, , , , 
2022-06-13 17:19:59,31.70,267, , , , 
2022-06-13 17:21:59,31.66,334, , , , 
2022-06-13 17:23:59,31.66,269, , , , 
2022-06-13 17:25:59,31.70,298, , , , 
2022-06-13 17:27:59,31.70,268, , , , 
2022-06-13 17:29:59,31.66,279, , , , 
2022-06-13 17:31:59,31.66,210, , , , 
2022-06-13 17:33:59,31.66,228, , , , 
2022-06-13 17:35:59,31.61,281, , , , 
2022-06-13 17:37:59,31.61,254, , , , 
2022-06-13 17:39:59,31.57,300, , , , 
2022-06-13 17:41:59,31.61,219, , , , 
2022-06-13 17:43:59,31.57,244, , , , 
2022-06-13 17:45:59,31.57,198, , , , 
2022-06-13 17:47:59,31.57,252, , , , 
2022-06-13 17:49:59,31.57,159, , , , 
2022-06-13 17:51:59,31.57,205, , , , 
2022-06-13 17:53:59,31.57,166, , , , 
2022-06-13 17:55:59,31.57,187, , , , 
2022-06-13 17:57:59,31.61,183, , , , 
2022-06-13 17:59:59,31.53,228, , , , 
2022-06-13 18:01:59,31.57,155, , , , 
2022-06-13 18:03:59,31.57,154, , , , 
2022-06-13 18:05:59,31.53,172, , , , 
2022-06-13 18:07:59,31.53,154, , , , 
2022-06-13 18:09:59,31.49,186, , , , 
2022-06-13 18:11:59,31.49,154, , , , 
