Serial Number:20834982 --

"Date Time, GMT -0400","Temp, (*C)","Intensity, ( lux)","Button Down","Button Up","Host Connect","EOF"
2022-06-14 07:05:15,28.10,259, , , , 
2022-06-14 07:07:15,28.10,235, , , , 
2022-06-14 07:09:15,28.14,228, , , , 
2022-06-14 07:11:15,28.18,269, , , , 
2022-06-14 07:13:15,28.18,268, , , , 
2022-06-14 07:15:15,28.23,244, , , , 
2022-06-14 07:17:15,28.27,280, , , , 
2022-06-14 07:19:15,28.27,371, , , , 
2022-06-14 07:21:15,28.31,338, , , , 
2022-06-14 07:23:15,28.35,291, , , , 
2022-06-14 07:25:15,28.35,416, , , , 
2022-06-14 07:27:15,28.35,333, , , , 
2022-06-14 07:29:15,28.48,307, , , , 
2022-06-14 07:31:15,28.48,450, , , , 
2022-06-14 07:33:15,28.53,683, , , , 
2022-06-14 07:35:15,28.61,567, , , , 
2022-06-14 07:37:15,28.65,394, , , , 
2022-06-14 07:39:15,28.65,433, , , , 
2022-06-14 07:41:15,28.70,467, , , , 
2022-06-14 07:43:15,28.78,859, , , , 
2022-06-14 07:45:15,28.83,501, , , , 
2022-06-14 07:47:15,28.91,673, , , , 
2022-06-14 07:49:15,29.04,873, , , , 
2022-06-14 07:51:15,29.08,476, , , , 
2022-06-14 07:53:15,29.17,449, , , , 
2022-06-14 07:55:15,29.21,503, , , , 
2022-06-14 07:57:15,29.26,556, , , , 
2022-06-14 07:59:15,29.26,526, , , , 
2022-06-14 08:01:15,29.34,590, , , , 
2022-06-14 08:03:15,29.38,564, , , , 
2022-06-14 08:05:15,29.43,686, , , , 
2022-06-14 08:07:15,29.47,465, , , , 
2022-06-14 08:09:15,29.47,719, , , , 
2022-06-14 08:11:15,29.64,692, , , , 
2022-06-14 08:13:15,29.73,459, , , , 
2022-06-14 08:15:15,29.73,472, , , , 
2022-06-14 08:17:15,29.73,444, , , , 
2022-06-14 08:19:15,29.73,678, , , , 
2022-06-14 08:21:15,29.77,394, , , , 
2022-06-14 08:23:15,29.81,381, , , , 
2022-06-14 08:25:15,29.81,448, , , , 
2022-06-14 08:27:15,29.77,670, , , , 
2022-06-14 08:29:15,29.90,482, , , , 
2022-06-14 08:31:15,29.90,411, , , , 
2022-06-14 08:33:15,29.86,433, , , , 
2022-06-14 08:35:15,29.90,498, , , , 
