Block Type,96-Well 0.1-mL Block,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,C9,FALSE,RAINBOW_RE_08,Apal,UNKNOWN,SYBR,None,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,Y,Y,Y,N,N,63.175346374511719,74.737045288085938,87.273834228515625,83.09490966796875
34,C10,FALSE,RAINBOW_RE_08,A,UNKNOWN,SYBR,None,Undetermined,,,,,,,,,,FALSE,0.10000000000000001,TRUE,3,39,No Amp,,0,Y,Y,Y,N,N,82.816314697265625,86.159454345703125,91.870651245117188,61.921669006347656
35,C11,FALSE,RAINBOW_RE_08,Apal,UNKNOWN,SYBR,None,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,Y,Y,Y,N,N,83.645217895507812,88.099411010742188,62.905364990234375,71.39617919921875
36,C12,FALSE,RAINBOW_RE_08,A,UNKNOWN,SYBR,None,Undetermined,,,,,,,,,,FALSE,0.10000000000000001,TRUE,3,39,No Amp,,0,Y,Y,Y,N,Y,86.289894104003906,79.469406127929688,74.597633361816406,90.326507568359375
37,D1,FALSE,RAINBOW_RE_09,Apal,UNKNOWN,SYBR,None,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,Y,Y,Y,N,Y,72.234039306640625,87.962158203125,93.112075805664062,64.857139587402344
38,D2,FALSE,RAINBOW_RE_09,A,UNKNOWN,SYBR,None,Undetermined,,,,,,,,,,FALSE,0.10000000000000001,TRUE,3,11,No Amp,,0,Y,Y,N,N,Y,83.925735473632812,78.915008544921875,75.017776489257812,88.658096313476562
39,D3,FALSE,RAINBOW_RE_09,Apal,UNKNOWN,SYBR,None,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,Y,Y,Y,N,N,72.353019714355469,83.203102111816406,86.819793701171875,91.68841552734375
40,D4,FALSE,RAINBOW_RE_09,A,UNKNOWN,SYBR,None,Undetermined,,,,,,,,,,FALSE,0.10000000000000001,TRUE,3,39,No Amp,,0,Y,Y,Y,N,N,89.323654174804688,84.455032348632812,68.040809631347656,
41,D5,FALSE,RAINBOW_RE_10,Apal,UNKNOWN,SYBR,None,32.845264434814453,32.845264434814453,,,,,,,,,FALSE,0.01,TRUE,3,31,Amp,,0.88655279618133709,N,N,N,N,N,74.84228515625,,,
42,D6,FALSE,RAINBOW_RE_10,A,UNKNOWN,SYBR,None,Undetermined,,,,,,,,,,FALSE,0.10000000000000001,TRUE,3,39,No Amp,,0,Y,Y,Y,N,N,90.138336181640625,74.981338500976562,66.638038635253906,85.132354736328125
