Block Type,96-Well 0.1-mL Block,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,B9,FALSE,CR2Apal_36C_5,Apal,UNKNOWN,SYBR,None,,,,,,,,,,,FALSE,0.10000000000000001,TRUE,3,19,N/A,,,,,,
22,B10,FALSE,CR2Apal_36C_5,A,UNKNOWN,SYBR,None,,,,,,,,,,,FALSE,0.10000000000000001,TRUE,3,22,N/A,,,,,,
23,B11,FALSE,CR2Apal_36C_5,Apal,UNKNOWN,SYBR,None,,,,,,,,,,,FALSE,0.10000000000000001,TRUE,3,18,N/A,,,,,,
24,B12,FALSE,CR2Apal_36C_5,A,UNKNOWN,SYBR,None,,,,,,,,,,,FALSE,0.10000000000000001,TRUE,3,22,N/A,,,,,,
25,C1,FALSE,CR2Apal_36C_6,Apal,UNKNOWN,SYBR,None,,,,,,,,,,,FALSE,0.10000000000000001,TRUE,3,24,N/A,,,,,,
26,C2,FALSE,CR2Apal_36C_6,A,UNKNOWN,SYBR,None,,,,,,,,,,,FALSE,0.10000000000000001,TRUE,3,25,N/A,,,,,,
27,C3,FALSE,CR2Apal_36C_6,Apal,UNKNOWN,SYBR,None,,,,,,,,,,,FALSE,0.10000000000000001,TRUE,3,24,N/A,,,,,,
28,C4,FALSE,CR2Apal_36C_6,A,UNKNOWN,SYBR,None,,,,,,,,,,,FALSE,0.10000000000000001,TRUE,3,24,N/A,,,,,,
29,C5,FALSE,CR2Apal_36C_6b,Apal,UNKNOWN,SYBR,None,,,,,,,,,,,FALSE,0.10000000000000001,TRUE,3,20,N/A,,,,,,
30,C6,FALSE,CR2Apal_36C_6b,A,UNKNOWN,SYBR,None,,,,,,,,,,,FALSE,0.10000000000000001,TRUE,3,22,N/A,,,,,,
31,C7,FALSE,CR2Apal_36C_6b,Apal,UNKNOWN,SYBR,None,,,,,,,,,,,FALSE,0.10000000000000001,TRUE,3,20,N/A,,,,,,
32,C8,FALSE,CR2Apal_36C_6b,A,UNKNOWN,SYBR,None,,,,,,,,,,,FALSE,0.10000000000000001,TRUE,3,23,N/A,,,,,,
33,C9,FALSE,CR2Apal_36C_7,Apal,UNKNOWN,SYBR,None,,,,,,,,,,,FALSE,0.10000000000000001,TRUE,3,18,N/A,,,,,,
34,C10,FALSE,CR2Apal_36C_7,A,UNKNOWN,SYBR,None,,,,,,,,,,,FALSE,0.10000000000000001,TRUE,3,23,N/A,,,,,,
