Block Type,96-Well 0.1-mL Block,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,C10,FALSE,CR2Apal_36C_95,A,UNKNOWN,SYBR,None,30.975725173950195,31.130990982055664,0.21957901120185852,,,,,,,,FALSE,0.10000000000000001,TRUE,3,26,Amp,,0.94447632947696336,4.3404297828674316,3.9270741939544678,88.068374633789062,,,,N,N,N,N
35,C11,FALSE,CR2Apal_36C_95,Apal,UNKNOWN,SYBR,None,26.855649948120117,26.953144073486328,0.13787886500358582,,,,,,,,FALSE,0.10000000000000001,TRUE,3,23,Amp,,0.9508950073254383,4.1847200393676758,3.7452473640441895,74.999717712402344,,,,N,N,N,N
36,C12,FALSE,CR2Apal_36C_95,A,UNKNOWN,SYBR,None,31.286256790161133,31.130990982055664,0.21957901120185852,,,,,,,,FALSE,0.10000000000000001,TRUE,3,26,Amp,,0.95870923157991261,4.3274149894714355,3.885127067565918,88.049896240234375,,,,N,N,N,N
37,D1,FALSE,CR2Apal_36C_96,Apal,UNKNOWN,SYBR,None,25.465764999389648,25.30499267578125,0.22736774384975433,,,,,,,,FALSE,0.10000000000000001,TRUE,3,21,Amp,,0.9527458768345598,4.1354827880859375,3.7335433959960938,74.859107971191406,,,,N,N,N,N
38,D2,FALSE,CR2Apal_36C_96,A,UNKNOWN,SYBR,None,Undetermined,31.234565734863281,,,,,,,,,FALSE,0.10000000000000001,TRUE,3,35,No Amp,,0,0.55809313058853149,0.096316926181316376,83.980331420898438,62.791030883789062,92.961227416992188,,Y,N,N,Y
39,D3,FALSE,CR2Apal_36C_96,Apal,UNKNOWN,SYBR,None,25.144218444824219,25.30499267578125,0.22736774384975433,,,,,,,,FALSE,0.10000000000000001,TRUE,3,21,Amp,,0.94209594012524511,4.2169580459594727,3.7963118553161621,74.984649658203125,,,,N,N,N,N
40,D4,FALSE,CR2Apal_36C_96,A,UNKNOWN,SYBR,None,31.234565734863281,31.234565734863281,,,,,,,,,FALSE,0.10000000000000001,TRUE,3,27,Amp,,0.948572324212545,4.2861413955688477,3.8491630554199219,87.885154724121094,,,,N,N,N,N
41,D5,FALSE,CR2Apal_36C_97,Apal,UNKNOWN,SYBR,None,21.163959503173828,21.113126754760742,0.071888364851474762,,,,,,,,FALSE,0.10000000000000001,TRUE,3,17,Amp,,0.93717010559362346,4.4518165588378906,3.9603815078735352,74.979850769042969,,,,N,N,N,N
42,D6,FALSE,CR2Apal_36C_97,A,UNKNOWN,SYBR,None,26.088565826416016,25.797792434692383,0.41121566295623779,,,,,,,,FALSE,0.10000000000000001,TRUE,3,22,Amp,,0.94347605848868399,5.7537713050842285,5.1992921829223633,87.5968017578125,,,,N,N,N,N
43,D7,FALSE,CR2Apal_36C_97,Apal,UNKNOWN,SYBR,None,21.062294006347656,21.113126754760742,0.071888364851474762,,,,,,,,FALSE,0.10000000000000001,TRUE,3,17,Amp,,0.94295988838954803,4.499234676361084,3.9940714836120605,74.987220764160156,,,,N,N,N,N
44,D8,FALSE,CR2Apal_36C_97,A,UNKNOWN,SYBR,None,25.50701904296875,25.797792434692383,0.41121566295623779,,,,,,,,FALSE,0.10000000000000001,TRUE,3,22,Amp,,0.94076977329876177,5.8347687721252441,5.3273868560791016,87.611038208007812,,,,N,N,N,N
