Block Type,96-Well 0.1-mL Block,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,D2,FALSE,CR2Apal_30C_170,A,UNKNOWN,SYBR,None,25.855310440063477,25.710136413574219,0.20530572533607483,,,,,,,,FALSE,0.10000000000000001,TRUE,3,22,Amp,,0.95845529037085364,N,N,N,N,87.783836364746094,,,
39,D3,FALSE,CR2Apal_30C_170,Apal,UNKNOWN,SYBR,None,21.796995162963867,21.704469680786133,0.13085079193115234,,,,,,,,FALSE,0.10000000000000001,TRUE,3,18,Amp,,0.94034960440346138,N,N,N,N,75.134750366210938,,,
40,D4,FALSE,CR2Apal_30C_170,A,UNKNOWN,SYBR,None,25.564964294433594,25.710136413574219,0.20530572533607483,,,,,,,,FALSE,0.10000000000000001,TRUE,3,21,Amp,,0.9545863540855003,N,N,N,N,87.764205932617188,,,
41,D5,FALSE,CR2Apal_30C_171,Apal,UNKNOWN,SYBR,None,19.342252731323242,19.374870300292969,0.046129558235406876,,,,,,,,FALSE,0.10000000000000001,TRUE,3,15,Amp,,0.91885173551889565,N,N,N,N,75.122955322265625,,,
42,D6,FALSE,CR2Apal_30C_171,A,UNKNOWN,SYBR,None,22.64411735534668,22.700489044189453,0.079720258712768555,,,,,,,,FALSE,0.10000000000000001,TRUE,3,19,Amp,,0.92457036823736438,N,N,N,N,87.743919372558594,,,
43,D7,FALSE,CR2Apal_30C_171,Apal,UNKNOWN,SYBR,None,19.407489776611328,19.374870300292969,0.046129558235406876,,,,,,,,FALSE,0.10000000000000001,TRUE,3,15,Amp,,0.90012855987819473,N,N,N,N,75.130691528320312,,,
44,D8,FALSE,CR2Apal_30C_171,A,UNKNOWN,SYBR,None,22.756858825683594,22.700489044189453,0.079720258712768555,,,,,,,,FALSE,0.10000000000000001,TRUE,3,18,Amp,,0.89625650019178216,N,N,N,N,87.758270263671875,,,
45,D9,FALSE,CR2Apal_30C_172,Apal,UNKNOWN,SYBR,None,19.010166168212891,19.041292190551758,0.044018842279911041,,,,,,,,FALSE,0.10000000000000001,TRUE,3,15,Amp,,0.91376896479866243,N,N,N,N,75.290878295898438,,,
46,D10,FALSE,CR2Apal_30C_172,A,UNKNOWN,SYBR,None,24.686016082763672,24.634614944458008,0.072692185640335083,,,,,,,,FALSE,0.10000000000000001,TRUE,3,20,Amp,,0.92798746596916615,N,N,N,N,87.933059692382812,,,
47,D11,FALSE,CR2Apal_30C_172,Apal,UNKNOWN,SYBR,None,19.072418212890625,19.041292190551758,0.044018842279911041,,,,,,,,FALSE,0.10000000000000001,TRUE,3,15,Amp,,0.91161053755232269,N,N,N,N,75.145454406738281,,,
48,D12,FALSE,CR2Apal_30C_172,A,UNKNOWN,SYBR,None,24.583213806152344,24.634614944458008,0.072692185640335083,,,,,,,,FALSE,0.10000000000000001,TRUE,3,20,Amp,,0.95048489748539777,N,N,N,N,87.780586242675781,,,
49,E1,FALSE,NTC,Apal,UNKNOWN,SYBR,None,Undetermined,,,,,,,,,,FALSE,0.10000000000000001,TRUE,3,39,No Amp,,0,Y,Y,Y,Y,73.884117126464844,81.044578552246094,91.995872497558594,67.425666809082031
50,E2,FALSE,NTC,A,UNKNOWN,SYBR,None,Undetermined,,,,,,,,,,FALSE,0.10000000000000001,TRUE,3,39,No Amp,,0,Y,Y,Y,N,85.9586181640625,74.024520874023438,80.061767578125,89.468650817871094
51,E3,FALSE,CR2Apal_30C_NEC1,Apal,UNKNOWN,SYBR,None,34.431674957275391,34.431674957275391,,,,,,,,,FALSE,0.10000000000000001,TRUE,3,30,Amp,,0.92282878793463574,N,N,N,N,74.854095458984375,,,
52,E4,FALSE,CR2Apal_30C_NEC1,A,UNKNOWN,SYBR,None,Undetermined,33.687812805175781,,,,,,,,,FALSE,0.10000000000000001,TRUE,3,39,No Amp,,0,Y,Y,Y,N,83.694717407226562,77.941299438476562,64.890853881835938,87.623878479003906
53,E5,FALSE,CR2Apal_30C_NEC1,Apal,UNKNOWN,SYBR,None,Undetermined,34.431674957275391,,,,,,,,,FALSE,0.10000000000000001,TRUE,3,39,No Amp,,0,Y,Y,Y,N,89.006011962890625,81.57366943359375,92.091140747070312,84.23809814453125
54,E6,FALSE,CR2Apal_30C_NEC1,A,UNKNOWN,SYBR,None,33.687812805175781,33.687812805175781,,,,,,,,,FALSE,0.10000000000000001,TRUE,3,29,Amp,,0.92950859097280691,N,N,N,N,87.743919372558594,,,
59,E11,FALSE,+,Apal,UNKNOWN,SYBR,None,29.889677047729492,29.889677047729492,,,,,,,,,FALSE,0.10000000000000001,TRUE,3,25,Amp,,0.94274112490343964,N,N,N,N,75.00506591796875,,,
60,E12,FALSE,+,A,UNKNOWN,SYBR,None,17.958227157592773,17.958227157592773,,,,,,,,,FALSE,0.10000000000000001,TRUE,3,14,Amp,,0.96443668353376122,N,N,N,N,87.64019775390625,,,
